name,population
China,1444216.107
India,1393409.038
United States,332915.073
Indonesia,276361.783
Pakistan,225199.937
Brazil,213993.437
Nigeria,211400.708
Bangladesh,166303.498
Russia,145912.025
Mexico,130262.216
Japan,126050.804
Ethiopia,117876.227
Philippines,111046.913
Egypt,104258.327
Vietnam,98168.833
DR Congo,92377.993
Turkey,85042.738
Iran,85028.759
Germany,83900.473
Thailand,69950.85
United Kingdom,68207.116
France,65426.179
Tanzania,61498.437
Italy,60367.477
South Africa,60041.994
Kenya,54985.698
Myanmar,54806.012
South Korea,51305.186
Colombia,51265.844
Uganda,47123.531
Spain,46745.216
Argentina,45605.826
Sudan,44909.353
Algeria,44616.624
Ukraine,43466.819
Iraq,41179.35
Afghanistan,39835.428
Canada,38067.903
Poland,37797.005
Morocco,37344.795
Saudi Arabia,35340.683
Uzbekistan,33935.763
Angola,33933.61
Peru,33359.418
Malaysia,32776.194
Mozambique,32163.047
Ghana,31732.129
Yemen,30490.64
Nepal,29674.92
Venezuela,28704.954
Madagascar,28427.328
Cameroon,27224.265
Ivory Coast,27053.629
North Korea,25887.041
Australia,25788.215
Niger,25130.817
Taiwan,23855.01
Sri Lanka,21497.31
Burkina Faso,21497.096
Mali,20855.735
Malawi,19647.684
Chile,19212.361
Romania,19127.774
Kazakhstan,18994.962
Zambia,18920.651
Syria,18275.702
Guatemala,18249.86
Ecuador,17888.475
Senegal,17196.301
Netherlands,17173.099
Cambodia,16946.438
Chad,16914.985
Somalia,16359.504
Zimbabwe,15092.171
Guinea,13497.244
Rwanda,13276.513
Benin,12451.04
Burundi,12255.433
Tunisia,11935.766
Bolivia,11832.94
Belgium,11632.326
Haiti,11541.685
South Sudan,11381.378
Cuba,11317.505
Dominican Republic,10953.703
Czech Republic,10724.555
Greece,10370.744
Jordan,10269.021
Azerbaijan,10223.342
Portugal,10167.925
Sweden,10160.169
Honduras,10062.991
United Arab Emirates,9991.089
Tajikistan,9749.627
Hungary,9634.164
Belarus,9442.862
Papua New Guinea,9119.01
Austria,9043.07
Israel,8789.774
Switzerland,8715.494
Serbia,8697.55
Togo,8478.25
Sierra Leone,8141.343
Hong Kong,7552.81
Laos,7379.358
Paraguay,7219.638
Libya,6958.532
Bulgaria,6896.663
Lebanon,6769.146
Nicaragua,6702.385
Kyrgyzstan,6628.356
El Salvador,6518.499
Turkmenistan,6117.924
Singapore,5896.686
Denmark,5813.298
Republic of the Congo,5657.013
Finland,5548.36
Norway,5465.63
Slovakia,5460.721
Oman,5223.375
Palestine,5222.748
Liberia,5180.203
Costa Rica,5139.052
Ireland,4982.907
Central African Republic,4919.981
New Zealand,4860.643
Mauritania,4775.119
Panama,4381.579
Kuwait,4328.55
Croatia,4081.651
Moldova,4024.019
Georgia,3979.765
Eritrea,3601.467
Uruguay,3485.151
Mongolia,3329.289
Bosnia and Herzegovina,3263.466
Jamaica,2973.463
Armenia,2968.127
Qatar,2930.528
Albania,2872.933
Puerto Rico,2828.255
Lithuania,2689.862
Namibia,2587.344
Gambia,2486.945
Botswana,2397.241
Gabon,2278.825
Lesotho,2159.079
North Macedonia,2082.658
Slovenia,2078.724
Guinea-Bissau,2015.494
Latvia,1866.942
Bahrain,1748.296
Equatorial Guinea,1449.896
Trinidad and Tobago,1403.375
Timor-Leste,1343.873
Estonia,1325.185
Mauritius,1273.433
Cyprus,1215.584
Eswatini,1172.362
Djibouti,1002.187
Fiji,902.906
Reunion,901.686
Comoros,888.451
Guyana,790.326
Bhutan,779.898
Solomon Islands,703.996
Luxembourg,634.814
Montenegro,628.053
Western Sahara,611.875
Suriname,591.8
Cape Verde,561.898
Maldives,543.617
Malta,442.784
Brunei,441.532
Belize,404.914
Guadeloupe,400.02
Bahamas,396.913
Martinique,374.745
Iceland,343.353
Vanuatu,314.464
French Guiana,306.448
Barbados,287.711
Mayotte,279.515
Sao Tome and Principe,223.368
Samoa,200.149
Saint Lucia,184.4
Kiribati,121.392
Micronesia,116.254
Grenada,113.021
Saint Vincent and the Grenadines,111.263
Tonga,106.76
Seychelles,98.908
Antigua and Barbuda,98.731
Andorra,77.355
Dominica,72.167
Marshall Islands,59.61
Greenland,56.877
Saint Kitts and Nevis,53.544
Monaco,39.511
Liechtenstein,38.25
San Marino,34.017
Palau,18.169
Tuvalu,11.931
Nauru,10.876
Vatican City,0.8
